Tamaño;Comparaciones;Asignaciones;Tiempo
10000;235429;372768;2988000
20000;510657;805326;3252900
30000;800764;1259604;2990400
40000;1101540;1730475;5977600
50000;1409778;2212167;6975800
60000;1721436;2699826;6986700
70000;2038710;3195468;7218900
80000;2363194;3701079;8971700
90000;2690570;4211274;10370700
100000;3019409;4724337;12531600
