Tamaño;Comparaciones;Asignaciones;Tiempo
10000;9999;50009;995700
20000;19999;100011;629500
30000;29999;150009;1127400
40000;39999;200007;0
50000;49999;250009;0
60000;59999;300008;0
70000;69999;350014;997300
80000;79999;400010;996300
90000;89999;450010;0
100000;99999;500019;997400
