Tamaño;Comparaciones;Asignaciones;Tiempo
10000;235253;372354;1012900
20000;510870;805770;2629300
30000;800741;1260021;3306200
40000;1101489;1730325;3987300
50000;1409827;2212506;7097700
60000;1721544;2699442;9525800
70000;2038268;3193641;9538200
80000;2363253;3701358;8964300
90000;2690386;4211805;11614100
100000;3019629;4724790;13164800
