Tamaño;Comparaciones;Asignaciones;Tiempo
10000;235348;372657;1022500
20000;510753;805032;3987500
30000;800696;1259757;3986700
40000;1101447;1730343;4577300
50000;1409920;2212674;8984300
60000;1721573;2699871;8477900
70000;2038791;3194979;7175000
80000;2362990;3700869;9967500
90000;2690483;4212054;10658500
100000;3019945;4725237;12956500
