Tamaño;Comparaciones;Asignaciones;Tiempo
10000;24870054;50020121;66096100
20000;99976285;199942587;271397400
30000;226102631;452205274;606282500
40000;402989575;805989165;1134852200
50000;626188273;1252396561;1682535500
60000;898744098;1797518210;2440306000
70000;1219393158;2438826332;3168414900
80000;1598187263;3196424539;4144813100
90000;2031920163;4063900339;5230868100
100000;2504295126;5008660271;6351794200
