Tamaño;Comparaciones;Asignaciones;Tiempo
10000;25046082;75208265;81113600
20000;98816627;296399893;310525400
30000;224232630;672627912;705646300
40000;401573591;1204630799;1372069000
50000;627340084;1881910266;4926126000
60000;897024468;2690943419;3763130500
70000;1228381545;3684994653;3946499000
80000;1600365508;4800926540;4426538000
90000;2019233839;6057511536;7221259800
100000;2499904912;7499504758;6402630000
