Tamaño;Comparaciones;Asignaciones;Tiempo
10000;9999;40005;0
20000;19999;80014;0
30000;29999;120005;0
40000;39999;160013;0
50000;49999;200009;0
60000;59999;240010;997600
70000;69999;280011;997100
80000;79999;320016;0
90000;89999;360010;997700
100000;99999;400009;996500
