Tamaño;Comparaciones;Asignaciones;Tiempo
10000;9999;50006;0
20000;19999;100007;0
30000;29999;150016;0
40000;39999;200011;0
50000;49999;250008;996300
60000;59999;300013;1023500
70000;69999;350012;997000
80000;79999;400012;521000
90000;89999;450011;0
100000;99999;500013;991900
