Tamaño;Comparaciones;Asignaciones;Tiempo
10000;235464;372915;996800
20000;510652;804996;1993500
30000;800662;1259922;2989800
40000;1101786;1731282;5144800
50000;1409817;2212584;7977900
60000;1721594;2699541;6978800
70000;2038264;3194586;7973600
80000;2362658;3700305;12119700
90000;2689976;4210362;12308100
100000;3019670;4724664;12027200
