Tamaño;Comparaciones;Asignaciones;Tiempo
10000;25147310;75511949;63618500
20000;99318690;297906087;277878200
30000;225439783;676249364;600821400
40000;400273935;1200731827;1052132700
50000;628531538;1885484629;1642719400
60000;900699478;2701968449;2362439100
70000;1228982394;3686797198;3208699400
80000;1599946285;4799668871;4149029800
90000;2024029951;6071899869;5271219300
100000;2500579621;7501528881;6541439200
