Tamaño;Comparaciones;Asignaciones;Tiempo
10000;9999;50011;3529900
20000;19999;100011;1993500
30000;29999;150014;1998500
40000;39999;200001;997600
50000;49999;250009;998200
60000;59999;300011;997000
70000;69999;350011;0
80000;79999;400008;996000
90000;89999;450011;5554200
100000;99999;500013;997200
