Tamaño;Comparaciones;Asignaciones;Tiempo
10000;9999;50006;1992700
20000;19999;100008;1853800
30000;29999;150011;1631600
40000;39999;200009;997400
50000;49999;250015;997000
60000;59999;300011;996600
70000;69999;350011;997800
80000;79999;400012;996600
90000;89999;450010;3936900
100000;99999;500018;996700
