Tamaño;Comparaciones;Asignaciones;Tiempo
10000;235329;372645;258500
20000;510685;805011;2273700
30000;800658;1259739;0
40000;1101590;1730289;5526000
50000;1410106;2212542;6221200
60000;1721241;2699082;912100
70000;2038325;3194625;8160800
80000;2362783;3700683;2882400
90000;2689456;4209621;11750000
100000;3019324;4723908;13053100
