Tamaño;Comparaciones;Asignaciones;Tiempo
10000;25372190;51024395;69526400
20000;99607764;199205540;268672300
30000;224842427;449684863;605664000
40000;399390129;798790269;1147179900
50000;621968336;1243956687;1697597500
60000;898580618;1797191246;2444922400
70000;1230541639;2461123293;3424327600
80000;1596443844;3192937700;4309779900
90000;2032323811;4064707638;5451964600
100000;2494989922;4990049855;6660870000
