Tamaño;Comparaciones;Asignaciones;Tiempo
10000;9999;40013;0
20000;19999;80011;0
30000;29999;120011;0
40000;39999;160009;498000
50000;49999;200013;1426300
60000;59999;240008;998900
70000;69999;280020;996600
80000;79999;320013;998200
90000;89999;360014;996400
100000;99999;400012;996100
