Tamaño;Comparaciones;Asignaciones;Tiempo
10000;24760983;49501968;92160700
20000;100831202;201652419;305799800
30000;223976007;447952029;768679700
40000;401214883;802439784;1307976100
50000;626695844;1253411693;2034260100
60000;902934288;1805898589;2842544300
70000;1221423551;2442887117;3773833200
80000;1597209163;3194468341;5327487300
90000;2019759711;4039579434;6298106100
100000;2506391791;5012853597;7913933000
