Tamaño;Comparaciones;Asignaciones;Tiempo
10000;25109255;50498524;69389700
20000;99981198;199952409;272226300
30000;225288952;450577919;583769700
40000;398434993;796879999;1058764800
50000;626742250;1253504511;1607466800
60000;902010346;1804050705;2578505700
70000;1228109116;2456258244;3363057700
80000;1608833750;3217717518;4407548000
90000;2031385137;4062830288;5491341500
100000;2499066606;4998203226;6769107800
