Tamaño;Comparaciones;Asignaciones;Tiempo
10000;9999;40017;0
20000;19999;80005;1495000
30000;29999;120017;0
40000;39999;160010;0
50000;49999;200011;0
60000;59999;240007;484900
70000;69999;280013;0
80000;79999;320010;1000300
90000;89999;360010;997000
100000;99999;400013;997400
