Tamaño;Comparaciones;Asignaciones;Tiempo
10000;235361;372522;996700
20000;510702;804918;1899300
30000;800438;1258869;30387900
40000;1101782;1731057;6812700
50000;1410046;2213187;10320800
60000;1721583;2700204;8599700
70000;2038329;3194313;7448200
80000;2363547;3701808;12043800
90000;2689878;4210113;22202300
100000;3019886;4725693;13111300
