Tamaño;Comparaciones;Asignaciones;Tiempo
10000;235324;372612;996300
20000;510762;805617;3396500
30000;800601;1259934;3534400
40000;1101232;1729659;6351900
50000;1409480;2211738;8330900
60000;1721481;2699898;12216800
70000;2038063;3193545;8096800
80000;2363307;3701604;14299700
90000;2690773;4212087;11093200
100000;3019255;4724598;9895600
