Tamaño;Comparaciones;Asignaciones;Tiempo
10000;25261916;50803841;64656700
20000;100595586;201181186;267567600
30000;225274802;450549617;582519700
40000;400252764;800515536;1044209700
50000;626913189;1253846391;1617886100
60000;899818889;1799667793;2290784400
70000;1226283590;2452607194;3225641000
80000;1598217441;3196484892;4118432400
90000;2029521739;4059103490;5151102900
100000;2491310859;4982691734;6342931700
