Tamaño;Comparaciones;Asignaciones;Tiempo
10000;25413858;76311592;138632700
20000;101009122;302977381;356263300
30000;225270993;675742994;731219100
40000;400423183;1201179562;1934119100
50000;626296145;1878778452;1928062200
60000;898910214;2696600664;2630095200
70000;1227051021;3681003078;4335285200
80000;1596572188;4789546589;6842451900
90000;2031247775;6093553343;8011166500
100000;2498873703;7496411130;9574099100
