Tamaño;Comparaciones;Asignaciones;Tiempo
10000;235467;373014;998000
20000;510791;804942;2139000
30000;800616;1259259;2989800
40000;1101443;1730313;5044100
50000;1409746;2212350;4856000
60000;1721677;2699778;9413300
70000;2038545;3194664;8970000
80000;2362982;3700602;9672100
90000;2690017;4211706;10962600
100000;3019699;4725639;12953600
