Tamaño;Comparaciones;Asignaciones;Tiempo
10000;235413;372726;1196500
20000;510641;804831;0
30000;800700;1260015;5226200
40000;1101311;1730223;5547100
50000;1409558;2212251;33920100
60000;1721672;2699859;9302900
70000;2038527;3194700;9876200
80000;2363035;3701040;26274000
90000;2690140;4211151;16071500
100000;3019914;4725039;137372600
