Tamaño;Comparaciones;Asignaciones;Tiempo
10000;25312467;50904956;66852200
20000;99500358;198990730;256706600
30000;223982046;447964110;582122000
40000;400672183;801354380;1105377600
50000;627391497;1254803010;1616464000
60000;902112359;1804254733;2315359700
70000;1222387935;2444815887;3143734000
80000;1598966423;3197982861;4168124300
90000;2027642374;4055344762;5309169600
100000;2497586813;4995243636;6426134800
