Tamaño;Comparaciones;Asignaciones;Tiempo
10000;9999;50012;0
20000;19999;100012;0
30000;29999;150011;0
40000;39999;200012;0
50000;49999;250013;997600
60000;59999;300011;0
70000;69999;350010;0
80000;79999;400013;995700
90000;89999;450010;997100
100000;99999;500007;2001100
