Tamaño;Comparaciones;Asignaciones;Tiempo
10000;9999;50010;0
20000;19999;100009;0
30000;29999;150004;997200
40000;39999;200009;996700
50000;49999;250011;0
60000;59999;300010;998100
70000;69999;350006;0
80000;79999;400008;0
90000;89999;450012;997600
100000;99999;500010;1004100
