Tamaño;Comparaciones;Asignaciones;Tiempo
10000;235509;372996;5217300
20000;510754;805464;2989600
30000;800641;1260081;8062600
40000;1101479;1730277;7206600
50000;1409744;2212332;7367700
60000;1721569;2699502;10345800
70000;2038449;3195057;13403600
80000;2363479;3702195;13799200
90000;2690550;4212471;11336900
100000;3019358;4725063;20124500
