Tamaño;Comparaciones;Asignaciones;Tiempo
10000;9999;40008;1071200
20000;19999;80013;0
30000;29999;120008;0
40000;39999;160013;0
50000;49999;200010;996800
60000;59999;240015;996700
70000;69999;280013;0
80000;79999;320012;0
90000;89999;360010;996500
100000;99999;400011;997200
