Tamaño;Comparaciones;Asignaciones;Tiempo
10000;235374;372777;997700
20000;510707;805368;1992900
30000;801035;1260384;2990200
40000;1101532;1730511;5980100
50000;1409810;2212503;7356400
60000;1721406;2699397;5978800
70000;2038950;3195645;6972700
80000;2362973;3700251;8971900
90000;2690294;4211880;12906000
100000;3019781;4724811;10914300
