Tamaño;Comparaciones;Asignaciones;Tiempo
10000;9999;40008;0
20000;19999;80011;0
30000;29999;120012;0
40000;39999;160011;0
50000;49999;200012;997300
60000;59999;240010;996700
70000;69999;280007;1001500
80000;79999;320011;1102500
90000;89999;360010;997300
100000;99999;400010;999000
