Tamaño;Comparaciones;Asignaciones;Tiempo
10000;9999;40007;0
20000;19999;80012;997600
30000;29999;120010;0
40000;39999;160004;996200
50000;49999;200017;0
60000;59999;240012;1117500
70000;69999;280007;996800
80000;79999;320010;996800
90000;89999;360018;997100
100000;99999;400015;997200
